ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,utime_ticks,stime_ticks,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789777282,24948,24948,9,11,1274296,94,13,10193,16072232,43478,8680,519376,16738
1789777283,24948,24948,9,11,1274296,94,13,10193,16072232,43478,8680,519376,16738
1789777284,24948,24948,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777285,24948,24948,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777286,24948,24948,9,11,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777288,25016,25016,9,11,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777289,25016,25016,9,11,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777290,25036,25036,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777291,25044,25044,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777292,25044,25044,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777293,25044,25044,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777294,25044,25044,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777295,25044,25044,9,10,1274296,94,14,10193,16072232,43478,8680,519376,16738
1789777296,25152,25152,9,10,1274296,101,14,10203,16072288,43482,8690,519432,16741
1789777297,25152,25152,9,10,1274296,101,14,10203,16072288,43482,8690,519432,16741
1789777298,25152,25152,9,10,1274296,101,14,10203,16072288,43482,8690,519432,16741
1789777299,25152,25152,9,10,1274296,101,14,10203,16072288,43482,8690,519432,16741
1789777300,25152,25152,9,10,1274296,101,14,10203,16072288,43482,8690,519432,16741
1789777301,25152,25152,9,10,1274296,101,14,10203,16072288,43482,8690,519432,16741
1789777302,25192,25192,9,10,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777303,25192,25192,9,10,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777304,25196,25196,9,10,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777305,25196,25196,9,10,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777306,25268,25268,9,11,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777307,25268,25268,9,11,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777308,25268,25268,9,11,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777309,25268,25268,9,10,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777310,25268,25268,9,10,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777311,25288,25288,9,11,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777312,25288,25288,9,11,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777313,25288,25288,9,11,1274552,101,15,10203,16072288,43482,8690,519432,16741
1789777314,25384,25384,9,12,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777315,25388,25388,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777316,25388,25388,9,11,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777317,25388,25388,9,11,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777318,25388,25388,9,11,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777319,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777320,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777321,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777322,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777323,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777324,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777325,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777326,25456,25456,9,10,1274552,108,15,10213,16072344,43485,8700,519488,16745
1789777327,25488,25488,9,12,1274552,111,16,10213,16072344,43485,8700,519488,16745
1789777328,25492,25492,9,10,1274552,115,16,10223,16072400,43489,8710,519544,16748
1789777329,25492,25492,9,10,1274552,115,16,10223,16072400,43489,8710,519544,16748
1789777330,25492,25492,9,10,1274552,115,16,10223,16072400,43489,8710,519544,16748
1789777331,25492,25492,9,10,1274552,115,16,10223,16072400,43489,8710,519544,16748
1789777332,25516,25516,9,10,1274552,116,16,10223,16072400,43489,8710,519544,16748
1789777333,25516,25516,9,10,1274552,116,16,10223,16072400,43489,8710,519544,16748
1789777334,25516,25516,9,10,1274552,116,17,10223,16072400,43489,8710,519544,16748
1789777336,25516,25516,9,10,1274552,116,17,10223,16072400,43489,8710,519544,16748
1789777337,25516,25516,9,11,1274552,117,17,10223,16072400,43489,8710,519544,16748
1789777338,25516,25516,9,11,1274552,117,17,10223,16072400,43489,8710,519544,16748
1789777339,25524,25524,9,11,1274552,117,17,10223,16072400,43489,8710,519544,16748
1789777340,25524,25524,9,10,1274552,117,17,10223,16072400,43489,8710,519544,16748
1789777341,25524,25524,9,10,1274552,118,17,10223,16072400,43489,8710,519544,16748
1789777342,25524,25524,9,11,1274552,118,17,10223,16072400,43489,8710,519544,16748
1789777343,25524,25524,9,11,1274552,118,17,10223,16072400,43489,8710,519544,16748
1789777344,25524,25524,9,13,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777345,25528,25528,9,10,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777346,25528,25528,9,10,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777347,25528,25528,9,11,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777348,25528,25528,9,11,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777349,25528,25528,9,11,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777350,25528,25528,9,10,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777351,25528,25528,9,10,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777352,25528,25528,9,10,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777353,25528,25528,9,10,1274552,124,17,10233,16072456,43492,8720,519600,16752
1789777354,25528,25528,9,10,1274552,125,17,10233,16072456,43492,8720,519600,16752
1789777355,25528,25528,9,10,1274552,125,17,10233,16072456,43492,8720,519600,16752
